Word1,Word2,Word1_Freq,Word2_Freq,Bigram_Freq,t_score,chi_square,likelihood_ratio
stepan,trofimovitch,525,513,512,22.607435068664618,578762.1838464922,67.69672794302696
pyotr,stepanovitch,834,509,509,22.529440451362266,362525.89251148683,64.95874949569
varvara,petrovna,474,507,422,20.52299929315621,440567.1180460083,66.41113958495839
katerina,ivanovna,427,635,410,20.22597626052719,368472.8662664069,67.44702424540952
nikolay,vsyevolodovitch,518,312,312,17.64816132340504,358156.9971876485,65.42750409906333
fyodor,pavlovitch,306,461,291,17.044839484395087,356993.85325469944,67.58050380305419
old,man,1356,2546,289,16.659070251924778,13838.389271782387,64.82208124921064
nastasia,philipovna,417,251,243,15.577185232051841,335566.6061071863,65.62915514722695
young,man,776,2546,232,15.01378934533981,15767.134429930938,65.15708562723157
old,woman,1356,1047,208,14.25694407998907,17738.38701212767,1480.4707586039806
pyotr,petrovitch,834,331,172,13.079540384275385,63492.677046388555,65.33188216807744
lizabetha,prokofievna,185,177,171,13.072493024583762,531584.3945046503,67.67708815282532
great,deal,1202,250,164,12.766855545039414,52987.26829594701,65.2952161690715
dmitri,fyodorovitch,427,327,162,12.709505274984258,111635.14689694741,65.6376201480293
evgenie,pavlovitch,227,461,158,12.55582873349656,141783.38494551205,66.37494211265886
mavriky,nikolaevitch,149,132,132,11.486251410865384,527441.9122130238,67.52741390193668
old,lady,1356,681,119,10.76660067112998,8898.189305234013,808.6807914198305
next,day,356,1711,117,10.722116610827836,13153.798251246964,920.0322636736591
avdotya,romanovna,119,112,112,10.580891016829549,560404.7282572329,68.34026323033781
alexey,fyodorovitch,226,327,106,10.283579809627932,90353.00252641886,1279.282531436867
nikolay,parfenovitch,518,103,103,10.140065967895934,118237.72663566603,1267.9127339998972
young,lady,776,681,95,9.655773102098342,9983.737317475041,711.6782853380926
pyotr,ilyitch,834,100,92,9.577065903474926,60268.58547850444,1020.5526275325178
madame,hohlakov,247,93,90,9.482768038281632,209863.60654044244,1253.7091781520116
father,zossima,1140,97,87,9.30747632134859,40598.577501419175,903.2324100028479
andrey,antonovitch,142,83,83,9.10826176268238,348006.16063126,1281.0858086932785
rodion,romanovitch,97,82,82,9.053910537590804,503390.4051056533,1374.5316602979003
porfiry,petrovitch,213,331,81,8.986848938222858,55270.90487927857,931.4386476635435
look,round,2970,493,81,8.726878059590241,2509.595549058746,411.213510705925
last,time,1586,2625,81,8.223420876506152,783.7216322159303,252.41610990788254
last,night,1586,587,77,8.596853014289072,3641.10089698558,452.9522333099841
marfa,petrovna,143,507,76,8.70383635975291,47303.72050551425,876.9178330199519
lizaveta,nikolaevna,159,76,76,8.715470869574872,284569.83160722296,1142.8478745893183
father,païssy,1140,73,72,8.468816546423316,36961.9185118691,760.1681420785409
sofya,semyonovna,135,71,71,8.424240101648966,313135.2605356228,1096.16440384993
several,time,212,2625,70,8.254936600162404,5105.809716948825,491.75029928590664
good,heaven,1595,201,69,8.24183088667958,8708.51318865827,535.8573443270749
nina,alexandrovna,93,242,67,8.18073686919733,118676.73946234386,936.1465917757384
turn,round,1279,493,65,7.930960230568839,3862.3507182175986,410.64393122256627
marya,timofyevna,125,64,63,7.935561874427214,295399.7999303001,978.1925417417742
twenty,year,188,871,61,7.775052581190719,13414.19978267634,559.8108356204764
aglaya,ivanovna,480,635,59,7.614528806775659,6685.399844040112,450.67970259410873
gavrila,ardalionovitch,61,67,58,7.614872185567539,490176.9239152785,1030.8356768751148
right,hand,927,1662,57,7.207248873399232,1144.7414535819175,247.0152013717348
good,thing,1595,1295,56,7.019940228750143,795.8453256069329,208.26080529006785
ivan,fyodorovitch,797,327,55,7.357202773390946,6804.345182228525,426.436097820496
cry,mitya,1704,911,54,6.993829963853297,1013.5383851544514,226.14422660177624
ha,ha,252,252,51,7.126500081467614,24295.506269586138,538.6496162936622
sofya,matveyevna,135,51,51,7.139809921525765,224928.1448917854,776.3061683681523
general,epanchin,935,204,50,7.025783006422335,7707.649560781976,408.4085778566888
dear,fellow,480,375,50,7.028332858631936,8173.468848418918,416.8157715222726
darya,pavlovna,62,59,49,6.999122713611321,390880.3735548921,839.8753115462922
praskovya,ivanovna,73,635,48,6.916970852622066,29510.78846629589,563.23145933393
von,lembke,74,127,46,6.78000375525346,134025.22028884324,679.5479205432175
whole,world,889,429,45,6.612759955728545,3073.42943698492,296.26264977497294
good,deal,1595,250,45,6.608413209476025,2935.6918616616776,291.30405402592294
thou,didst,169,50,43,6.555275217024607,130256.04164137578,615.4673919729805
next,morning,356,497,43,6.51214168605303,6139.231650181817,347.79924233412873
last,word,1586,1439,43,5.973152525833276,400.42018132735694,130.5855775519064
little,child,1465,758,42,6.193081732285114,864.0927338081125,182.48408515150965
next,room,356,1129,41,6.297746773689092,2409.9863063818925,260.8829925174234
lef,nicolaievitch,43,41,41,6.402662009577383,567880.5145876093,769.6996310996846
ippolit,kirillovitch,43,41,41,6.402662009577383,567880.5145876093,769.6996310996846
whole,truth,889,328,40,6.247155252892828,3188.9907144567264,275.0192289296749
arina,prohorovna,44,44,39,6.244477560661661,467902.9061426945,710.8776690068365
turn,pale,1279,238,39,6.163168304215437,2898.874611272538,262.31445230920156
agrafena,alexandrovna,41,242,39,6.242330754997621,91235.36356279544,593.0821924279102
trifon,borissovitch,45,39,39,6.244526217288907,516167.60294627206,716.1024972707112
return,home,331,469,38,6.122136943944623,5465.037041898291,307.6564362747781
pyotr,alexandrovitch,834,55,37,6.070102824643901,17703.916378121852,384.74796582768795
tell,lie,2482,568,37,5.693677088865413,506.8057656545111,134.6761533224682
semyon,yakovlevitch,51,37,37,6.082241735343572,432077.2972855191,656.8595970148162
many,year,532,871,37,5.954876043957409,1686.6371350186844,215.87705965357472
thank,god,158,803,36,5.964500918856365,6012.87752780338,306.5976683038099
whole,town,889,549,36,5.8634415479763895,1510.5596003940461,203.40983595017138
new,life,511,1043,36,5.850875263849438,1377.3465986982496,198.28351562986947
eye,flash,1211,142,35,5.867282662572199,4173.629076813969,267.425264601112
talk,nonsense,1065,277,35,5.832367134135366,2403.9899372408645,230.18396435070903
dear,boy,480,461,35,5.85328784749578,3227.97316322875,251.4977211472767
eye,fix,1211,159,35,5.861440753776663,3719.9731561530693,259.57700608151976
little,girl,1465,465,34,5.6348206209415395,943.9582791662219,165.69659919559157
general,ivolgin,935,49,34,5.81776131271179,14961.91884314896,347.61727410219413
whole,life,889,1043,34,5.563994263067308,676.1926792597671,146.01553076770202
ilya,petrovitch,40,331,33,5.740693396947899,48928.16512744878,457.6008107978611
father,ferapont,1140,35,33,5.732902294676534,16191.772547531522,344.28247981060645
ivan,fedorovitch,797,34,33,5.736643543411644,23872.434007541637,370.19710423972225
ivan,petrovitch,797,331,32,5.578564111939045,2248.603023277783,212.08569378831262
good,god,1595,803,32,5.276755033678364,414.3924953730621,113.67546049179363
prince,muishkin,1984,129,32,5.58089999261197,2319.697479115039,213.23596741503738
thousand,franc,614,50,32,5.647743394879396,19804.58678307631,349.38924396760365
young,fellow,776,375,32,5.570494031499603,2032.584857063047,205.9293186546656
alexis,ivanovitch,32,82,31,5.566973176611326,218092.32910026037,542.3249930278944
