Word1,Word2,Word1_Freq,Word2_Freq,Bigram_Freq
young,man,776,2546,234
time,pass,2625,521,18
time,past,2625,187,17
matter,importance,609,70,11
utter,word,169,1439,58
last,month,1586,356,42
dark,eye,208,1211,15
dark,brown,208,16,10
dark,hair,208,166,12
time,time,2625,2625,34
mutter,something,297,1444,15
hay,market,29,45,20
different,matter,259,609,21
drunken,man,90,2546,14
unknown,reason,67,479,14
top,voice,81,588,23
round,hat,493,217,10
stupid,thing,259,1295,11
put,faith,1071,169,11
begin,look,1745,2970,31
old,woman,1356,1047,215
good,thing,1595,1295,56
ring,bell,107,88,26
bell,ring,88,107,11
little,eye,1465,1211,14
eye,glitter,1211,26,10
open,door,682,750,128
stand,face,1039,1410,26
man,look,2546,2970,24
good,sir,1595,251,20
eye,face,1211,1410,13
little,room,1465,1129,18
rapid,glance,61,252,10
think,man,2317,2546,14
raskolnikov,think,782,2317,10
door,lead,750,267,10
chest,drawer,71,35,16
look,straight,2970,290,44
straight,face,290,1410,27
alyona,ivanovna,18,635,15
last,time,1586,2625,86
cry,man,1704,2546,10
man,stand,2546,1039,19
middle,room,123,1129,42
twenty,copeck,188,56,12
rouble,copeck,543,56,10
oh,god,1118,803,25
whole,month,889,356,17
look,round,2970,493,84
think,raskolnikov,2317,782,16
till,moment,389,1301,24
little,table,1465,520,13
room,look,1129,2970,17
chapter,ii,172,56,22
something,seem,1444,1349,22
wear,coat,214,154,11
whole,face,889,1410,10
face,seem,1410,1349,15
word,speak,1439,1198,12
eye,gleam,1211,47,11
something,strange,1444,548,20
last,look,1586,2970,17
look,raskolnikov,2970,782,15
honour,sir,216,251,15
sit,beside,1134,231,49
man,face,2546,1410,18
ask,question,1621,897,109
spend,night,216,587,24
answer,raskolnikov,818,782,17
last,day,1586,1711,62
put,question,1071,897,26
heart,ache,897,58,11
katerina,ivanovna,427,635,410
use,talk,663,1065,15
catch,cold,309,167,11
little,child,1465,758,45
raise,head,265,804,52
look,man,2970,2546,11
want,tell,1315,2482,27
father,house,1140,888,21
offer,hand,181,1662,12
understand,mean,1051,1062,13
whole,year,889,871,13
universal,history,40,66,10
read,book,561,232,19
great,interest,1202,272,17
poor,girl,422,465,17
little,face,1465,1410,19
time,try,2625,630,10
child,cry,758,1704,10
sofya,semyonovna,135,71,71
lame,man,46,2546,19
hear,story,1132,386,12
return,home,331,469,38
whole,party,889,145,13
pay,attention,324,145,27
semyon,zaharovitch,51,10,10
wife,child,408,758,13
great,deal,1202,250,165
next,day,356,1711,119
elbow,table,55,520,21
face,change,1410,330,12
dear,sir,480,251,18
hear,nothing,1132,1567,22
thou,hast,169,33,24
good,evil,1595,75,16
hold,hand,550,1662,75
plunge,thought,43,549,13
moment,silence,1301,305,12
address,raskolnikov,262,782,10
begin,pull,1745,250,10
table,stand,520,1039,10
drink,tea,329,202,17
press,hand,128,1662,32
thirty,year,84,871,13
open,window,682,340,23
whisper,something,324,1444,12
eye,look,1211,2970,38
next,room,356,1129,41
begin,cry,1745,1704,18
cry,boy,1704,461,11
poor,woman,422,1047,30
laugh,face,1027,1410,10
hundredth,time,14,2625,11
put,hand,1071,1662,44
hand,pocket,1662,235,10
change,mind,330,851,28
wave,hand,101,1662,53
man,use,2546,663,10
chapter,iii,172,53,22
state,mind,248,851,25
bring,tea,817,202,11
open,eye,682,1211,34
raskolnikov,begin,782,1745,11
much,money,1227,993,19
god,sake,803,224,21
cry,raskolnikov,1704,782,17
good,god,1595,803,34
turn,pale,1279,238,51
receive,letter,349,544,20
goodness,sake,99,224,12
seem,afraid,1349,541,12
twenty,year,188,871,64
wait,till,639,389,24
thank,god,158,803,36
last,week,1586,199,31
tell,everything,2482,811,52
whole,truth,889,328,41
last,year,1586,871,73
marfa,petrovna,143,507,76
hear,anything,1132,796,13
whole,hour,889,508,18
put,shame,1071,133,15
send,letter,591,544,29
whole,town,889,549,37
begin,tell,1745,2482,20
short,time,273,2625,26
feel,sorry,533,174,10
whole,story,889,386,21
several,day,212,1711,10
